Nombre o título de la categoría de información,Descripción del contenido la categoría de información,Idioma,Medio de conservación o soporte,Formato,Disponibilidad de la información,Lugar de consulta o ubicación física,Lugar de publicación
Conciliación Bancaria,Es el documento resumen de los registros y diferencias en libros contables Vs Extractos Bancarios,Español,Físico -Electrónico- Digital,Hoja de cálculo,Disponible,Icfes- oficina Tesorería,N/A
Actas de Comité de Inversiones,"Soporte por el cual se verifica el quorum para tomar las decisiones de inversión, previo análisis del panorama económico, saldos de bancos y opciones de inversión",Español,Físico -Electrónico- Digital,Texto,Disponible,OneDrive - icfes.gov.co\2020\3.Tesorería\6. Comité de inversiones\Actas y carpeta física Icfes piso 15 oficina de Tesorería,N/A
Informes Presupuestales,"Son documentos de ejecución presupuestal, los cuales son expedidos de manera semanal, mensual, trimestral y anual a entes internos y externos según sea el caso.",Español,Físico -Electrónico- Digital,Digital,N/A,N/A,N/A
Boletín diario de Tesorería,Informe que compara y valida los movimientos bancarios Vs los registros de la ERP de tesorería,Español,Electrónico - Digital,Hoja de cálculo,Disponible,Z:\OneDrive - icfes.gov.co\2020\3.Tesorería\1.Boletines de tesorería,N/A
Informes a Entidades del Estado Externos,Documentos con información financiera consolidada y especifica enviada a entes Externos cuando sean requeridos.,Español,Físico -Electrónico- Digital,Digital,Disponible,"Z:\OneDrive - icfes.gov.co\2020 según el área que los genera (Presupuesto, Contabilidad y Tesorería) fisicamente Icfes Subdirección Financiera y Contable piso 15",N/A
Informes a Entidades del Estado Internos,Documentos con información financiera consolidada y especifica remitidos a las diferentes dependencias.,Español,Físico -Electrónico- Digital,Digital,Disponible,Icfes - piso 15 - subdirección financiera,N/A
Certificados de Disponibilidad Presupuestal,"Certificados que garantiza la existencia de apropiación presupuestal disponible, libre de afectación y suficiente para respaldar los actos administrativos con los cuales se ejecuta el presupuesto",Español,Físico -Electrónico- Digital,Digital,Disponible,ERP - Oracle,N/A
Certificados de Registro Presupuestal,Consiste en la certificación de apropiación de presupuesto con destino al cumplimiento de las obligaciones pecuniarias del contrato,Español,Físico -Electrónico- Digital,Digital,Disponible,ERP - Oracle,N/A
Declaraciones tributarias,Información reportada: Declaración Retención IVA Declaración Retención ICA Declaración ReteFuente Declaración de Patrimonio,Español,Físico -Electrónico- Digital,Digital,Disponible,Icfes - Piso 15 - Tesorería / ERP Oracle,N/A
Libros contables,"Libro Auxiliar de Contabilidad Libro Diario Libro Mayor y Balance Los cuales contienen la información de: *Ingresos (Venta de servicios, Ingresos de capital, cuentas por cobrar, otros ingresos (reintegros, arrendamientos) recaudo por pruebas de estado y recaudo por proyectos de evaluación) *Egresos(cuentas por pagar, admon de vigencias futuras, salidas para caja menor, etc)",Español,Físico -Electrónico- Digital,Digital,Disponible,ERP -Oracle,N/A
Ordenes de pago,"Documento que se genera junto con los soportes (certificado de supervisión, pagos parafiscales, certificación cuenta bancaria, entre otros) para proceder al pago.",Español,Físico -Electrónico- Digital,Digital,Disponible,Icfes - piso 15 -Tesorería,N/A
Actuación administrativa sancionatoria,"Es un proceso administrativo que se deriva de las posibles faltas y/o conductas prohibidas, ocurridas en la aplicación de los exámenes de Estado, a fin de preservar la transparencia, validez y confiabilidad de las pruebas.",Español,Físico -Electrónico- Digital,Texto,"Ni disponible,Ni publicada",N/A,N/A
Código fuente de los sistemas de información,Código fuente de los sistemas de información desarrollados in house los cuales se almacenan en el repositorio GitLab,Español,Electrónico - Digital,Texto,"Ni disponible,Ni publicada",N/A,N/A
Actas de reunión,"Documento que contiene la información de seguimiento a las decisiones tomadas en el Comité Primario de la Dirección General, Comité Directivo, Comité Institucional de Gestión y Desempeño, Comité Primario de la OAP, Revisión por la Dirección y grupo Gestor de Desempeño Institucional, entre otros.",Español,Físico -Electrónico- Digital,Texto,"Ni disponible,Ni publicada",N/A,N/A
Anteproyecto de presupuesto,Planeación presupuestal del Instituto para la siguiente vigencia. El cual incluye el documento técnico de proyectos de inversión y el acuerdo de refrenda de la desagregación del presupuesto de ingresos y Gastos del Icfes para la vigencia fiscal,Español,Electrónico - Digital,Hoja de cálculo,Publicada,https://www.icfes.gov.co/web/guest/presupuesto-general,https://www.icfes.gov.co/web/guest/presupuesto-general
Historias de Usuario,"Documentos que en que se realizar la descripción de una funcionalidad que debe incorporar un sistema de software, y cuya implementación aporta valor al cliente.",Español,Físico -Electrónico- Digital,Texto,"Ni disponible,Ni publicada",N/A,N/A
ítems que componen la pauta de video y su relación con los aspectos por evaluar de la ECDF. (establecidos en la resolución de la cohorte a evaluar),"Los ítems son enunciados susceptibles de ser observados en el video y que permiten dar cuenta del desempeño del evaluado, con base en los aspectos, componentes y criterios contemplados en la resolución 018407 del 28 de noviembre de 2018.",Español,Electrónico - Digital,Bases de datos,"Ni disponible,Ni publicada",N/A,N/A
Diccionario de instrumentos de la ECDF.,Es un listado de términos en el que se describen las partes que componen las pautas de evaluación.,Español,Electrónico - Digital,Bases de datos,Disponible,Carpeta de gestión del conocimiento en el espacio del repositorio de la ECDF.,N/A
ítems que componen el cuestionario de autoevaluación y su relación con los aspectos por evaluar de la ECDF. (establecidos en la resolución de la cohorte a evaluar),"Los ítems son enunciados que el evaluado debe responder con el propósito de evaluar su propia práctica. Estos apuntan a los aspectos, componentes y criterios contemplados en la resolución 018407 del 28 de noviembre de 2018.",Español,Electrónico - Digital,Bases de datos,"Ni disponible,Ni publicada",N/A,N/A
"Carpetas de gestión de los procesos de construcción de ítems de las pruebas de Estado, proyectos especiales y nuevos negocios.","Contiene los formatos de calidad, documentos y soportes de los procesos de construcción de ítems, de las diferentes pruebas que construye la Subdirección de Diseño de Instrumentos anualmente.",Español,Físico,Texto,Disponible,Carpetas de gestión de la Subdirección de Diseño de Instrumentos.,N/A
ítems que componen el cuestionario de las encuestas y su relación con los aspectos por evaluarde la ECDF. (establecidos en la resolución de la cohorte a evaluar),"Los ítems son enunciados que según el rol y el nivel de enseñanza, son evaluados por los estudiantes, padres de familia o educadores, con el propósito de evaluar la práctica pedagógica del evaluado. Estos apuntan a los aspectos, componentes y criterios contemplados en la resolución 018407 del 28 de noviembre de 2018.",Español,Electrónico - Digital,Bases de datos,"Ni disponible,Ni publicada",N/A,N/A
Claves de todos los instrumentos de la ECDF.,Es la valoración que asigna un puntaje a cada una de las escalas que componen los diferentes instrumentos de calificación.,Español,Electrónico - Digital,Bases de datos,"Ni disponible,Ni publicada",N/A,N/A
Ítems de instrumentos de evaluación de pruebas cognitivas y no cognitivas del piloto muestral de Saber 359,"Los ítems son las preguntas que conforman las diferentes pruebas del examen Saber 359. las preguntas son de tres tipos, preguntas de selección múltiple con única respuesta, de respuesta graduada, y preguntas de respuesta construida o también llamada pregunta abierta.",Español,Físico -Electrónico- Digital,Bases de datos,"Ni disponible,Ni publicada",N/A,N/A
Pautas de codificación de pregunta abierta del examen Saber 359,Son los criterios de acuerdo con los cuales se asigna un código numérico a las respuestas de los estudiantes a las preguntas abiertas.,Español,Electrónico - Digital,Texto,"Ni disponible,Ni publicada",N/A,N/A
Claves de todos los ítems de los instrumentos del piloto muestral de Saber 359,"Las claves son las respuestas correctas a las preguntas de selección multiple, o de mayor valoración a las preguntas de respuesta graduada, aplicadas en el examen Saber 359.",Español,Electrónico - Digital,Bases de datos,"Ni disponible,Ni publicada",N/A,N/A
Puntos de corte de los niveles de desempeño,"Los niveles de desempeño están conformados por la descripción cualitativa del desempeño de los estudiantes en las pruebas. Se definen cuatro niveles de desempeño, adicionalmente, se establece el puntaje numérico mínimo asociado a cada uno de los niveles.",Español,Físico -Electrónico- Digital,Bases de datos,No publicada,N/A,N/A
Marcos de referencia de las pruebas o módulos,Son documentos que precisan la estructura y especificaciones técnicas de las pruebas o exámenes en los productos o servicios que lo requieran y que orienten su desarrollo.,Español,Físico -Electrónico- Digital,Texto,Publicada,Carpetas de gestión de marcos de referencia de la Subdirección de Diseño de Instrumentos,Link de transparencia de la página web del Icfes
Matrices de referencia del examen Saber 359,"Son las las afirmaciones y evidencias de cada una de las pruebas, las tareas no se publican .",Español,Electrónico - Digital,Hoja de cálculo,Disponible,PRISMA,N/A
Guías de Orientación,"Las guías de orientación, son documentos que sirven al público interesado, de apoyo para la comprensión de las pruebas de Estado. Se elaboran para las pruebas (Saber 11, Saber Pro, Saber TyT y Saber 359) y para cada aplicación son actualizadas o ajustadas de acuerdo con los cambios que se realicen en la prueba.",Español,Electrónico - Digital,Texto,Publicada,Link de transparencia de la página web del Icfes,Link de transparencia de la página web del Icfes
Formato de validación de ítems,Es el documento estandarizado en el que expertos en el área realizan la revisión técnica y conceptual de los ítems que conforman cada una de las pruebas del examen.,Español,Físico,Texto,"Ni disponible,Ni publicada",N/A,N/A
Diseño del armado de los ítems y la prueba,Es un documento que especifica los requisitos estadísticos y derivados de las especificaciones para construir los bloques de ítems que conforman las pruebas.,Español,Electrónico - Digital,Bases de datos,"Ni disponible,Ni publicada",N/A,N/A
Protocolo de discapacidad,"Documento en el cual se indaga por el tipo de discapacidad del estudiante, con el fin de determinar las acomodaciones y apoyos que pueda requerir para presentar el examen.",Español,Electrónico - Digital,Texto,"Ni disponible,Ni publicada",N/A,N/A
Reportes de análisis de ítems,"Documentos finales de análisis de ítems, los cuales representan el reporte de los gestores de pruebas para el análisis de ítems dudosos o el análisis específico de ítems, el cual tiene como insumo los reportes y alertas estadísticos, y sirve para identificar las oportunidades de mejora, actualización o eliminación de ítems, para el proceso de calificación de una prueba aplicada.",Español,Físico,Texto,N/A,N/A,N/A
Especificaciones de prueba,"Documento técnico que, con base en los referentes teóricos, define la estructura de la prueba desde la metodología del Diseño Basado en Evidencias (DBE) como insumo para la construcción de la misma. En él, se soportan conceptualmente las especificaciones a nivel de: estándar/ competencia, afirmaciones, evidencias y tareas.",Español,Electrónico - Digital,Texto,"Ni disponible,Ni publicada",N/A,N/A
Informes de comisionados comités técnicos de área,"Los informes, son documentos entregados por los comisionados de un comité técnico de área, quien ostenta el rol de asesor externo, y brinda observaciones, comentarios y reportes con un alto nivel académico, sobre los temas y pruebas o módulos tratados en la reunión, con el objeto de producir insumos para el análisis del diseño y producción de los futuros exámenes.",Español,Físico -Electrónico- Digital,Texto,Disponible,Carpeta de gestión de comités técnicos de área,N/A
Actas comités técnicos de área,"Son documentos donde se consigna el desarrollo de los comités técnicos de área y se reflejan los compromisos, así como las tareas pendientes de los mismos, además de los responsables. El acta sirve como insumo para el análisis e identificación de oportunidades de mejora dentro de los procesos de diseño y construcción de los exámenes de Estado.",Español,Físico,Texto,Disponible,Carpeta de gestión de comités técnicos de área de la Subdirección de Diseño de Instrumentos,N/A
Bases de datos colaboradores del proceso de diseño de instrumentos.,Base de datos con información personal y de contacto de los colaboradores del proceso de diseño de instrumentos de evaluación.,Español,Electrónico - Digital,Bases de datos,"Ni disponible,Ni publicada",N/A,N/A
Bases de datos colaboradores del proceso de construcción de ítems.,Base de datos con información personal y de contacto de los colaboradores del proceso de construcción de ítems.,Español,Electrónico - Digital,Bases de datos,"Ni disponible,Ni publicada",N/A,N/A
Plan general de construcción de ítems,"Es el formato de calidad que especifica el número de ítems que se van a construir por prueba, los gestores responsables de la prueba y mediante firma, se aprueba y valida la construcción proyectada para la vigencia.",Español,Físico,Texto,Disponible,Carpeta de gestión de construcción de ítems de la Subdirección de Diseño de Instrumentos.,N/A
Fichas técnicas de ítems aprobados,"Es el documento que contiene la información principal de un ítem, dentro del cual se encuentra los aspectos claves de la estructura y contenido de la pregunta, tales como el enunciado (si aplica), las claves (respuestas), fuentes, competencia, y forma de diagramación de la misma.",Español,Electrónico - Digital,Texto,"Ni disponible,Ni publicada",N/A,N/A
Estudios previos y Requisiciones,"Documentos en digital (extensión .pdf y .docx) que soportan la necesidad y términos de los contratos que requiere la Subdirección de Diseño de Instrumentos, mediante la modalidad de contratación por prestación de servicios, convenios interadministrativos y demás tipos de contratos requeridos.",Español,Electrónico - Digital,Texto,Publicada,Carpetas de contratación de la Subdirección de Abastecimiento y Servicios Generales,Secop II
Documentos físicos y digitales que contienen información sobre el diseño y construcción de instrumentos de evaluación.,"Son aquellos documentos que se crean con ocasión al desarrollo del proceso de diseño y construcción de instrumentos de evaluación, los cuales tienen utilidad de orientación y guía, pero que no se constituyen dentro de las carpetas de gestión, toda vez que son de uso interno y temporal durante la vigencia y, posterior a ella, es eliminada.",Español,Físico -Electrónico- Digital,Texto,Disponible,En las carpetas de gestión físicas y digitales de la Subdirección de Diseño de Instrumentos.,N/A
Documentos físicos y digitales que contienen información administrativa de la Subdirección.,"Son todos aquellos documentos que surgen con ocasión a la labor administrativa de la Subdirección de Diseño de Instrumentos, los cuales son almacenados como soporte, guía o evidencia, pero no corresponden a la misionalidad de la Subdirección, dichos documentos se componen de comunicaciones internas, solicitudes de viáticos, soportes de liquidación de contratos, documentos (copias) allegados por los contratistas y personas jurídicas con los cuales se celebró un contrato, informes, reportes, entre otros.",Español,Físico -Electrónico- Digital,Texto,Disponible,Carpetas de gestión administrativa físicas y digitales de la Subdirección de Diseño de Instrumentos,N/A
"Documentos, formatos y matrices del Sistema de Gestión de Calidad","Son aquellos documentos que surgen con ocasión al cumplimiento del Sistema de Gestión de Calidad y las normas ISO 9001:2015,dentro de las cuales la Subdirección de Diseño de Instrumentos coadyuva en la consecución de eficiencia y efectividad en términos del mejoramiento de los procesos misionales del ICFES.",Español,Físico -Electrónico- Digital,Texto,Disponible,"Daruma, computador del gestor de desempeño institucional de la Subdirección de Diseño de Instrumentos",N/A
Ficha Técnica del examen,"Documento que contiene la siguiente información acerca del examen: número de sesiones, pruebas aplicadas en cada sesión con el número de preguntas por cada una, número total de preguntas de cada sesión, el tipo de hoja de respuestas (abierta o cerrada), tiempo máximo de aplicación y combinatorias por utilizar. Lo anterior funciona para cada tipo de población que se aplica en cada examen (población general, población con discapacidad, población individual).",Español,Electrónico - Digital,Hoja de cálculo,"Ni disponible,Ni publicada",N/A,N/A
Documentos de Diseño de los sistemas de Información,Se generan los diseños para el desarrollo de requerimientos en la herramientra draw.io y el resultado es un archivo XML que se almacena en BITBUCKET.,Español,Electrónico - Digital,Digital,Disponible,Repositorio de desarrollo BITBUCKET,N/A
Documentos de Arquitectura de los Sistemas de Información,"Documentos de diseño de alto nivel de la estructura de un sistema, la cual consiste en un conjunto de patrones y abstracciones coherentes que proporcionan un marco definido y claro para interactuar con el código fuente del software.",Español,Electrónico - Digital,Texto,"Ni disponible,Ni publicada",N/A,N/A
Escenarios de pruebas,"Registro de los pasos a seguir para probar los diferentes escenarios de registro de aplicación, de acuerdo con los criterios de aceptación",Español,Electrónico - Digital,Digital,"Ni disponible,Ni publicada",N/A,N/A
Biblia Grupo 1: Reporte para operadores,"Grupos de reportes que relacionan la información de los evaluados, puntos de aplicación, cuadernillo y hoja de respuesta asignado, entre otros datos indispensables para la aplicación y los procesos de lectura y generación de cadenas de respuestas, asociados a una aplicación para la sesión logística. La biblia principal se agrupa de la siguiente manera: Grupo 1: El archivo de distribución e impresión para priorizar e imprimir los cuadernillos por examinando, combo y sesión.",Español,Electrónico - Digital,Texto,"Ni disponible,Ni publicada",N/A,N/A
Biblia Grupo 2,"Grupos de reportes que relacionan la información de los evaluados, puntos de aplicación, cuadernillo y hoja de respuesta asignado, entre otros datos indispensables para la aplicación y los procesos de lectura y generación de cadenas de respuestas, asociados a una aplicación para la sesión logística. La biblia principal se agrupa de la siguiente manera: Grupo 2: Son 6 listados: Carta confirmación por sitio, Carta confirmación sitio, Informe alfabético de citados por sitio, Informe de Registro de Asistencia e Identificación, Informe de Listado de Ausentes, Informe Listado de puerta salón.",Español,Electrónico - Digital,Texto,"Ni disponible,Ni publicada",N/A,N/A
Plan de acción anual,"Plan de acción, seguimiento de la estrategia y la operación general de la vigencia del Instituto.",Español,Electrónico - Digital,Hoja de cálculo,Publicada,https://www.icfes.gov.co/web/guest/politicas-lineamientos-y-manuales,https://www.icfes.gov.co/web/guest/politicas-lineamientos-y-manuales
ACTAS DE COMITÉ INSTITUCIONAL DE COORDINACIÓN DE CONTROL INTERNO,"Actas de Comité de Coordinación del Sistema de Control Interno (Documento en el que se relaciona el desarrollo de los Comités, las decisiones adoptadas y los compromisos pactados.)",Español,Físico -Electrónico- Digital,Texto,Publicada,N/A,https://www.icfes.gov.co/web/guest/oci-oficina-de-control-interno
Actas Dirección de Tecnología,Testimonio escrito de los hechos ocurridos de reuniones de Comités del Área,Español,Físico -Electrónico- Digital,Texto,Disponible,Daruma - Icfes Piso 16 DTI,N/A
Proyectos,Proyectos de Gestión de Servicios de Tecnologías de Información.,Español,Físico -Electrónico- Digital,Texto,Disponible,Icfes Piso 16,N/A
INFORMES GENERADOS POR LA OFICINA DE CONTROL INTERNO,"Informes a Entes de Control (Respuestas a requerimientos normativos o solicitudes de información que realicen los diferentes entes de control) Informes a Otros Organismos del Estado Informes de Auditoria Interna de Gestión (Documento que contiene la consolidación y formalización de los resultados del trabajo de evaluación independiente, que sirve para comunicar los hallazgos de la auditoria.) Informes de Ley y Seguimiento (Informes que por mandato legal (Ley – Decreto) o procedimental debe efectuar la Oficina de Control Interno en su rol de evaluación y seguimiento.) Informes de Rendición de Cuenta Fiscal Informes Internos de Gestión",Español,Físico -Electrónico- Digital,Texto,Publicada,N/A,https://www.icfes.gov.co/web/guest/transparencia-acceso-informacion-publica#https://www.icfes.gov.co/web/guest/control
PLAN ANUAL DE AUDITORÍA,"Planes Anuales de Auditoría (El Plan Anual de Auditoría es la programación de las actividades de la Oficina de Control Interno de la vigencia, este debe incluir todos los roles asignados a las Oficinas de Control Interno.)",Español,Físico -Electrónico- Digital,Texto,Publicada,N/A,https://www.icfes.gov.co/web/guest/oci-oficina-de-control-interno
PAPELES DE TRABAJO DE LA OFICINA DE CONTROL INTERNO,Papeles de trabajo (Conjunto de documentos y otros medios de información en los cuales el auditor registra el trabajo realizado durante el proceso de auditoría en cada una de sus fases. ),Español,Físico -Electrónico- Digital,Texto,Disponible,Archivo interno de la Oficina de Control Interno,N/A
Base de datos de sitios de aplicación,"Conjunto de datos pertenecientes a la instalación física denominada el sitio de aplicación, seleccionado por el Icfes donde se cita a un examinando para aplicar el examen al que se encuentra inscrito. Puede tratarse de Instituciones de Educación Superior ó colegios ó Establecimientos Penitenciarios ó Centro de Reclusión de Menores.",Español,Electrónico - Digital,Bases de datos,"Ni disponible,Ni publicada",N/A,N/A
Biblia Grupo 3: Cuadro de Aplicación,"Grupos de reportes que relacionan la información de los evaluados, puntos de aplicación, cuadernillo y hoja de respuesta asignado, entre otros datos indispensables para la aplicación y los procesos de lectura y generación de cadenas de respuestas, asociados a una aplicación para la sesión logística La biblia principal se agrupa de la siguiente manera: Grupo 3: Es el cuadro de aplicación con la cantidad de examinadores.",Español,Electrónico - Digital,Hoja de cálculo,"Ni disponible,Ni publicada",N/A,N/A
BBDD de Examinadores,"Registro de los datos de las personas que desempeñan cualquiera de los roles que participan en la administración de un examen en cada Sitio de Aplicación ( Delegado, Coordinador de Salones, Jefe de Salón, Dactiloscopista, Interprete, Coordinador de Municipio, Coordinador de Seguridad.)",Español,Electrónico - Digital,Bases de datos,"Ni disponible,Ni publicada",N/A,N/A
Hojas de respuesta aplicadas,"Las hojas de respuesta son el material dispuesto para que los evaluados diligencien las respuestas a los ítems de la prueba. Esta hoja cuenta con información del estudiante, identificación del cuadernillo de preguntas y cuenta con los identificadores de las preguntas y las posibles opciones de respuesta para que el evaluado rellene los círculos, de acuerdo a su respuesta a cada pregunta",Español,Físico -Electrónico- Digital,Texto,"Ni disponible,Ni publicada",N/A,N/A
