"Country or Area","Year","Area","Sex","Age","Occupation","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Australia","2016","Total","Both Sexes","15 - 19","Armed forces (ISCO 88 - 0)","Census - de jure - complete tabulation","Final figure, complete","2017","167","1"
"Australia","2016","Total","Both Sexes","15 - 19","Legislators, senior officials and managers (ISCO 88 - 1)","Census - de jure - complete tabulation","Final figure, complete","2017","784","1"
"Australia","2016","Total","Both Sexes","15 - 19","Professionals (ISCO 88 - 2)","Census - de jure - complete tabulation","Final figure, complete","2017","2128","1"
"Australia","2016","Total","Both Sexes","15 - 19","Technicians and associate professionals (ISCO 88 - 3)","Census - de jure - complete tabulation","Final figure, complete","2017","2710","1"
"Australia","2016","Total","Both Sexes","15 - 19","Clerks (ISCO 88 - 4)","Census - de jure - complete tabulation","Final figure, complete","2017","2820","1"
"Australia","2016","Total","Both Sexes","15 - 19","Service workers and shop and market sales workers (ISCO 88 - 5)","Census - de jure - complete tabulation","Final figure, complete","2017","32090","1"
"Australia","2016","Total","Both Sexes","15 - 19","Skilled agricultural and fishery workers (ISCO 88 - 6)","Census - de jure - complete tabulation","Final figure, complete","2017","286","1"
"Australia","2016","Total","Both Sexes","15 - 19","Craft and related trades workers (ISCO 88 - 7)","Census - de jure - complete tabulation","Final figure, complete","2017","3362","1"
"Australia","2016","Total","Both Sexes","15 - 19","Plant and machine operators and assemblers (ISCO 88 - 8)","Census - de jure - complete tabulation","Final figure, complete","2017","1573","1"
"Australia","2016","Total","Both Sexes","15 - 19","Elementary occupations (ISCO 88 - 9)","Census - de jure - complete tabulation","Final figure, complete","2017","13931","1"
"Australia","2016","Total","Both Sexes","15 - 19","Unemployed","Census - de jure - complete tabulation","Final figure, complete","2017","24552","1"
"Australia","2016","Total","Both Sexes","15 - 19","Workers Not Classifiable by Occupation (ISCO 88 - X)","Census - de jure - complete tabulation","Final figure, complete","2017","1724","1"
"Australia","2016","Total","Both Sexes","15 - 19","Total (ISCO 88)","Census - de jure - complete tabulation","Final figure, complete","2017","86127","1"
"Australia","2016","Total","Both Sexes","15 +","Armed forces (ISCO 88 - 0)","Census - de jure - complete tabulation","Final figure, complete","2017","3517","1"
"Australia","2016","Total","Both Sexes","15 +","Legislators, senior officials and managers (ISCO 88 - 1)","Census - de jure - complete tabulation","Final figure, complete","2017","376273","1"
"Australia","2016","Total","Both Sexes","15 +","Professionals (ISCO 88 - 2)","Census - de jure - complete tabulation","Final figure, complete","2017","778182","1"
"Australia","2016","Total","Both Sexes","15 +","Technicians and associate professionals (ISCO 88 - 3)","Census - de jure - complete tabulation","Final figure, complete","2017","370734","1"
"Australia","2016","Total","Both Sexes","15 +","Clerks (ISCO 88 - 4)","Census - de jure - complete tabulation","Final figure, complete","2017","284602","1"
"Australia","2016","Total","Both Sexes","15 +","Service workers and shop and market sales workers (ISCO 88 - 5)","Census - de jure - complete tabulation","Final figure, complete","2017","512015","1"
"Australia","2016","Total","Both Sexes","15 +","Skilled agricultural and fishery workers (ISCO 88 - 6)","Census - de jure - complete tabulation","Final figure, complete","2017","29363","1"
"Australia","2016","Total","Both Sexes","15 +","Craft and related trades workers (ISCO 88 - 7)","Census - de jure - complete tabulation","Final figure, complete","2017","260034","1"
"Australia","2016","Total","Both Sexes","15 +","Plant and machine operators and assemblers (ISCO 88 - 8)","Census - de jure - complete tabulation","Final figure, complete","2017","202665","1"
"Australia","2016","Total","Both Sexes","15 +","Elementary occupations (ISCO 88 - 9)","Census - de jure - complete tabulation","Final figure, complete","2017","330360","1"
"Australia","2016","Total","Both Sexes","15 +","Unemployed","Census - de jure - complete tabulation","Final figure, complete","2017","276835","1"
"Australia","2016","Total","Both Sexes","15 +","Workers Not Classifiable by Occupation (ISCO 88 - X)","Census - de jure - complete tabulation","Final figure, complete","2017","81002","1"
"Australia","2016","Total","Both Sexes","15 +","Total (ISCO 88)","Census - de jure - complete tabulation","Final figure, complete","2017","3505582","1"
"Australia","2016","Total","Both Sexes","20 - 24","Armed forces (ISCO 88 - 0)","Census - de jure - complete tabulation","Final figure, complete","2017","479","1"
"Australia","2016","Total","Both Sexes","20 - 24","Legislators, senior officials and managers (ISCO 88 - 1)","Census - de jure - complete tabulation","Final figure, complete","2017","7251","1"
"Australia","2016","Total","Both Sexes","20 - 24","Professionals (ISCO 88 - 2)","Census - de jure - complete tabulation","Final figure, complete","2017","23543","1"
"Australia","2016","Total","Both Sexes","20 - 24","Technicians and associate professionals (ISCO 88 - 3)","Census - de jure - complete tabulation","Final figure, complete","2017","16680","1"
"Australia","2016","Total","Both Sexes","20 - 24","Clerks (ISCO 88 - 4)","Census - de jure - complete tabulation","Final figure, complete","2017","15059","1"
"Australia","2016","Total","Both Sexes","20 - 24","Service workers and shop and market sales workers (ISCO 88 - 5)","Census - de jure - complete tabulation","Final figure, complete","2017","64455","1"
"Australia","2016","Total","Both Sexes","20 - 24","Skilled agricultural and fishery workers (ISCO 88 - 6)","Census - de jure - complete tabulation","Final figure, complete","2017","1399","1"
"Australia","2016","Total","Both Sexes","20 - 24","Craft and related trades workers (ISCO 88 - 7)","Census - de jure - complete tabulation","Final figure, complete","2017","14222","1"
"Australia","2016","Total","Both Sexes","20 - 24","Plant and machine operators and assemblers (ISCO 88 - 8)","Census - de jure - complete tabulation","Final figure, complete","2017","9280","1"
"Australia","2016","Total","Both Sexes","20 - 24","Elementary occupations (ISCO 88 - 9)","Census - de jure - complete tabulation","Final figure, complete","2017","34520","1"
"Australia","2016","Total","Both Sexes","20 - 24","Unemployed","Census - de jure - complete tabulation","Final figure, complete","2017","41291","1"
"Australia","2016","Total","Both Sexes","20 - 24","Workers Not Classifiable by Occupation (ISCO 88 - X)","Census - de jure - complete tabulation","Final figure, complete","2017","6007","1"
"Australia","2016","Total","Both Sexes","20 - 24","Total (ISCO 88)","Census - de jure - complete tabulation","Final figure, complete","2017","234186","1"
"Australia","2016","Total","Both Sexes","25 - 29","Armed forces (ISCO 88 - 0)","Census - de jure - complete tabulation","Final figure, complete","2017","428","1"
"Australia","2016","Total","Both Sexes","25 - 29","Legislators, senior officials and managers (ISCO 88 - 1)","Census - de jure - complete tabulation","Final figure, complete","2017","27881","1"
"Australia","2016","Total","Both Sexes","25 - 29","Professionals (ISCO 88 - 2)","Census - de jure - complete tabulation","Final figure, complete","2017","92525","1"
"Australia","2016","Total","Both Sexes","25 - 29","Technicians and associate professionals (ISCO 88 - 3)","Census - de jure - complete tabulation","Final figure, complete","2017","42818","1"
"Australia","2016","Total","Both Sexes","25 - 29","Clerks (ISCO 88 - 4)","Census - de jure - complete tabulation","Final figure, complete","2017","29720","1"
"Australia","2016","Total","Both Sexes","25 - 29","Service workers and shop and market sales workers (ISCO 88 - 5)","Census - de jure - complete tabulation","Final figure, complete","2017","71840","1"
"Australia","2016","Total","Both Sexes","25 - 29","Skilled agricultural and fishery workers (ISCO 88 - 6)","Census - de jure - complete tabulation","Final figure, complete","2017","2469","1"
"Australia","2016","Total","Both Sexes","25 - 29","Craft and related trades workers (ISCO 88 - 7)","Census - de jure - complete tabulation","Final figure, complete","2017","26905","1"
"Australia","2016","Total","Both Sexes","25 - 29","Plant and machine operators and assemblers (ISCO 88 - 8)","Census - de jure - complete tabulation","Final figure, complete","2017","18593","1"
"Australia","2016","Total","Both Sexes","25 - 29","Elementary occupations (ISCO 88 - 9)","Census - de jure - complete tabulation","Final figure, complete","2017","45080","1"
"Australia","2016","Total","Both Sexes","25 - 29","Unemployed","Census - de jure - complete tabulation","Final figure, complete","2017","37983","1"
"Australia","2016","Total","Both Sexes","25 - 29","Workers Not Classifiable by Occupation (ISCO 88 - X)","Census - de jure - complete tabulation","Final figure, complete","2017","9605","1"
"Australia","2016","Total","Both Sexes","25 - 29","Total (ISCO 88)","Census - de jure - complete tabulation","Final figure, complete","2017","405847","1"
"Australia","2016","Total","Both Sexes","30 - 34","Armed forces (ISCO 88 - 0)","Census - de jure - complete tabulation","Final figure, complete","2017","414","1"
"Australia","2016","Total","Both Sexes","30 - 34","Legislators, senior officials and managers (ISCO 88 - 1)","Census - de jure - complete tabulation","Final figure, complete","2017","49162","1"
"Australia","2016","Total","Both Sexes","30 - 34","Professionals (ISCO 88 - 2)","Census - de jure - complete tabulation","Final figure, complete","2017","136821","1"
"Australia","2016","Total","Both Sexes","30 - 34","Technicians and associate professionals (ISCO 88 - 3)","Census - de jure - complete tabulation","Final figure, complete","2017","57249","1"
"Australia","2016","Total","Both Sexes","30 - 34","Clerks (ISCO 88 - 4)","Census - de jure - complete tabulation","Final figure, complete","2017","37887","1"
"Australia","2016","Total","Both Sexes","30 - 34","Service workers and shop and market sales workers (ISCO 88 - 5)","Census - de jure - complete tabulation","Final figure, complete","2017","65313","1"
"Australia","2016","Total","Both Sexes","30 - 34","Skilled agricultural and fishery workers (ISCO 88 - 6)","Census - de jure - complete tabulation","Final figure, complete","2017","2535","1"
"Australia","2016","Total","Both Sexes","30 - 34","Craft and related trades workers (ISCO 88 - 7)","Census - de jure - complete tabulation","Final figure, complete","2017","32911","1"
"Australia","2016","Total","Both Sexes","30 - 34","Plant and machine operators and assemblers (ISCO 88 - 8)","Census - de jure - complete tabulation","Final figure, complete","2017","24695","1"
"Australia","2016","Total","Both Sexes","30 - 34","Elementary occupations (ISCO 88 - 9)","Census - de jure - complete tabulation","Final figure, complete","2017","39292","1"
"Australia","2016","Total","Both Sexes","30 - 34","Unemployed","Census - de jure - complete tabulation","Final figure, complete","2017","32723","1"
"Australia","2016","Total","Both Sexes","30 - 34","Workers Not Classifiable by Occupation (ISCO 88 - X)","Census - de jure - complete tabulation","Final figure, complete","2017","11062","1"
"Australia","2016","Total","Both Sexes","30 - 34","Total (ISCO 88)","Census - de jure - complete tabulation","Final figure, complete","2017","490064","1"
"Australia","2016","Total","Both Sexes","35 - 39","Armed forces (ISCO 88 - 0)","Census - de jure - complete tabulation","Final figure, complete","2017","375","1"
"Australia","2016","Total","Both Sexes","35 - 39","Legislators, senior officials and managers (ISCO 88 - 1)","Census - de jure - complete tabulation","Final figure, complete","2017","53190","1"
"Australia","2016","Total","Both Sexes","35 - 39","Professionals (ISCO 88 - 2)","Census - de jure - complete tabulation","Final figure, complete","2017","125418","1"
"Australia","2016","Total","Both Sexes","35 - 39","Technicians and associate professionals (ISCO 88 - 3)","Census - de jure - complete tabulation","Final figure, complete","2017","51024","1"
"Australia","2016","Total","Both Sexes","35 - 39","Clerks (ISCO 88 - 4)","Census - de jure - complete tabulation","Final figure, complete","2017","34171","1"
"Australia","2016","Total","Both Sexes","35 - 39","Service workers and shop and market sales workers (ISCO 88 - 5)","Census - de jure - complete tabulation","Final figure, complete","2017","50691","1"
"Australia","2016","Total","Both Sexes","35 - 39","Skilled agricultural and fishery workers (ISCO 88 - 6)","Census - de jure - complete tabulation","Final figure, complete","2017","2301","1"
"Australia","2016","Total","Both Sexes","35 - 39","Craft and related trades workers (ISCO 88 - 7)","Census - de jure - complete tabulation","Final figure, complete","2017","30747","1"
"Australia","2016","Total","Both Sexes","35 - 39","Plant and machine operators and assemblers (ISCO 88 - 8)","Census - de jure - complete tabulation","Final figure, complete","2017","22168","1"
"Australia","2016","Total","Both Sexes","35 - 39","Elementary occupations (ISCO 88 - 9)","Census - de jure - complete tabulation","Final figure, complete","2017","31523","1"
"Australia","2016","Total","Both Sexes","35 - 39","Unemployed","Census - de jure - complete tabulation","Final figure, complete","2017","27427","1"
"Australia","2016","Total","Both Sexes","35 - 39","Workers Not Classifiable by Occupation (ISCO 88 - X)","Census - de jure - complete tabulation","Final figure, complete","2017","9473","1"
"Australia","2016","Total","Both Sexes","35 - 39","Total (ISCO 88)","Census - de jure - complete tabulation","Final figure, complete","2017","438508","1"
"Australia","2016","Total","Both Sexes","40 - 44","Armed forces (ISCO 88 - 0)","Census - de jure - complete tabulation","Final figure, complete","2017","368","1"
"Australia","2016","Total","Both Sexes","40 - 44","Legislators, senior officials and managers (ISCO 88 - 1)","Census - de jure - complete tabulation","Final figure, complete","2017","53227","1"
"Australia","2016","Total","Both Sexes","40 - 44","Professionals (ISCO 88 - 2)","Census - de jure - complete tabulation","Final figure, complete","2017","103019","1"
"Australia","2016","Total","Both Sexes","40 - 44","Technicians and associate professionals (ISCO 88 - 3)","Census - de jure - complete tabulation","Final figure, complete","2017","44831","1"
"Australia","2016","Total","Both Sexes","40 - 44","Clerks (ISCO 88 - 4)","Census - de jure - complete tabulation","Final figure, complete","2017","31124","1"
"Australia","2016","Total","Both Sexes","40 - 44","Service workers and shop and market sales workers (ISCO 88 - 5)","Census - de jure - complete tabulation","Final figure, complete","2017","46576","1"
"Australia","2016","Total","Both Sexes","40 - 44","Skilled agricultural and fishery workers (ISCO 88 - 6)","Census - de jure - complete tabulation","Final figure, complete","2017","2781","1"
"Australia","2016","Total","Both Sexes","40 - 44","Craft and related trades workers (ISCO 88 - 7)","Census - de jure - complete tabulation","Final figure, complete","2017","29954","1"
"Australia","2016","Total","Both Sexes","40 - 44","Plant and machine operators and assemblers (ISCO 88 - 8)","Census - de jure - complete tabulation","Final figure, complete","2017","21341","1"
"Australia","2016","Total","Both Sexes","40 - 44","Elementary occupations (ISCO 88 - 9)","Census - de jure - complete tabulation","Final figure, complete","2017","29306","1"
"Australia","2016","Total","Both Sexes","40 - 44","Unemployed","Census - de jure - complete tabulation","Final figure, complete","2017","24662","1"
"Australia","2016","Total","Both Sexes","40 - 44","Workers Not Classifiable by Occupation (ISCO 88 - X)","Census - de jure - complete tabulation","Final figure, complete","2017","8684","1"
"Australia","2016","Total","Both Sexes","40 - 44","Total (ISCO 88)","Census - de jure - complete tabulation","Final figure, complete","2017","395873","1"
"Australia","2016","Total","Both Sexes","45 - 49","Armed forces (ISCO 88 - 0)","Census - de jure - complete tabulation","Final figure, complete","2017","492","1"
"Australia","2016","Total","Both Sexes","45 - 49","Legislators, senior officials and managers (ISCO 88 - 1)","Census - de jure - complete tabulation","Final figure, complete","2017","53509","1"
"Australia","2016","Total","Both Sexes","45 - 49","Professionals (ISCO 88 - 2)","Census - de jure - complete tabulation","Final figure, complete","2017","85780","1"
