"Country or Area","Year","Area","Sex","Age","Educational attainment","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Colombia","2018","Total","Both Sexes","15 - 19","ISCED 2011, No education","Census - de jure - complete tabulation","Final figure, complete","2020","43738",""
"Colombia","2018","Total","Both Sexes","15 - 19","ISCED 2011, level 0 – Early childhood education","Census - de jure - complete tabulation","Final figure, complete","2020","2649",""
"Colombia","2018","Total","Both Sexes","15 - 19","ISCED 2011, level 1 – Primary education","Census - de jure - complete tabulation","Final figure, complete","2020","244303",""
"Colombia","2018","Total","Both Sexes","15 - 19","ISCED 2011, level 2 – Lower secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","1335770",""
"Colombia","2018","Total","Both Sexes","15 - 19","ISCED 2011, level 3 – Upper secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","1649452",""
"Colombia","2018","Total","Both Sexes","15 - 19","ISCED 2011, level 4 – Post-secondary non-tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","4041",""
"Colombia","2018","Total","Both Sexes","15 - 19","ISCED 2011, level 5 – Short-cycle tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","201587",""
"Colombia","2018","Total","Both Sexes","15 - 19","ISCED 2011, level 6 – Bachelor’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","292652",""
"Colombia","2018","Total","Both Sexes","15 - 19","ISCED 2011, level 7 – Master’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","1060",""
"Colombia","2018","Total","Both Sexes","15 - 19","ISCED 2011, level 8 – Doctoral or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","617",""
"Colombia","2018","Total","Both Sexes","15 - 19","ISCED 2011, Unknown","Census - de jure - complete tabulation","Final figure, complete","2020","76386",""
"Colombia","2018","Total","Both Sexes","15 - 19","ISCED 2011, Total","Census - de jure - complete tabulation","Final figure, complete","2020","3852255",""
"Colombia","2018","Total","Both Sexes","15 +","ISCED 2011, No education","Census - de jure - complete tabulation","Final figure, complete","2020","1704834",""
"Colombia","2018","Total","Both Sexes","15 +","ISCED 2011, level 0 – Early childhood education","Census - de jure - complete tabulation","Final figure, complete","2020","23915",""
"Colombia","2018","Total","Both Sexes","15 +","ISCED 2011, level 1 – Primary education","Census - de jure - complete tabulation","Final figure, complete","2020","8124185",""
"Colombia","2018","Total","Both Sexes","15 +","ISCED 2011, level 2 – Lower secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","4868730",""
"Colombia","2018","Total","Both Sexes","15 +","ISCED 2011, level 3 – Upper secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","10155024",""
"Colombia","2018","Total","Both Sexes","15 +","ISCED 2011, level 4 – Post-secondary non-tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","59919",""
"Colombia","2018","Total","Both Sexes","15 +","ISCED 2011, level 5 – Short-cycle tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","3347990",""
"Colombia","2018","Total","Both Sexes","15 +","ISCED 2011, level 6 – Bachelor’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","4191249",""
"Colombia","2018","Total","Both Sexes","15 +","ISCED 2011, level 7 – Master’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","1069374",""
"Colombia","2018","Total","Both Sexes","15 +","ISCED 2011, level 8 – Doctoral or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","68403",""
"Colombia","2018","Total","Both Sexes","15 +","ISCED 2011, Unknown","Census - de jure - complete tabulation","Final figure, complete","2020","567189",""
"Colombia","2018","Total","Both Sexes","15 +","ISCED 2011, Total","Census - de jure - complete tabulation","Final figure, complete","2020","34180812",""
"Colombia","2018","Total","Both Sexes","20 - 24","ISCED 2011, No education","Census - de jure - complete tabulation","Final figure, complete","2020","53494",""
"Colombia","2018","Total","Both Sexes","20 - 24","ISCED 2011, level 0 – Early childhood education","Census - de jure - complete tabulation","Final figure, complete","2020","2388",""
"Colombia","2018","Total","Both Sexes","20 - 24","ISCED 2011, level 1 – Primary education","Census - de jure - complete tabulation","Final figure, complete","2020","258223",""
"Colombia","2018","Total","Both Sexes","20 - 24","ISCED 2011, level 2 – Lower secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","491383",""
"Colombia","2018","Total","Both Sexes","20 - 24","ISCED 2011, level 3 – Upper secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","1610074",""
"Colombia","2018","Total","Both Sexes","20 - 24","ISCED 2011, level 4 – Post-secondary non-tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","7958",""
"Colombia","2018","Total","Both Sexes","20 - 24","ISCED 2011, level 5 – Short-cycle tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","583493",""
"Colombia","2018","Total","Both Sexes","20 - 24","ISCED 2011, level 6 – Bachelor’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","823522",""
"Colombia","2018","Total","Both Sexes","20 - 24","ISCED 2011, level 7 – Master’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","18815",""
"Colombia","2018","Total","Both Sexes","20 - 24","ISCED 2011, level 8 – Doctoral or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","3147",""
"Colombia","2018","Total","Both Sexes","20 - 24","ISCED 2011, Unknown","Census - de jure - complete tabulation","Final figure, complete","2020","87791",""
"Colombia","2018","Total","Both Sexes","20 - 24","ISCED 2011, Total","Census - de jure - complete tabulation","Final figure, complete","2020","3940288",""
"Colombia","2018","Total","Both Sexes","25 - 29","ISCED 2011, No education","Census - de jure - complete tabulation","Final figure, complete","2020","65933",""
"Colombia","2018","Total","Both Sexes","25 - 29","ISCED 2011, level 0 – Early childhood education","Census - de jure - complete tabulation","Final figure, complete","2020","2039",""
"Colombia","2018","Total","Both Sexes","25 - 29","ISCED 2011, level 1 – Primary education","Census - de jure - complete tabulation","Final figure, complete","2020","364024",""
"Colombia","2018","Total","Both Sexes","25 - 29","ISCED 2011, level 2 – Lower secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","401192",""
"Colombia","2018","Total","Both Sexes","25 - 29","ISCED 2011, level 3 – Upper secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","1375173",""
"Colombia","2018","Total","Both Sexes","25 - 29","ISCED 2011, level 4 – Post-secondary non-tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","7503",""
"Colombia","2018","Total","Both Sexes","25 - 29","ISCED 2011, level 5 – Short-cycle tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","586655",""
"Colombia","2018","Total","Both Sexes","25 - 29","ISCED 2011, level 6 – Bachelor’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","716418",""
"Colombia","2018","Total","Both Sexes","25 - 29","ISCED 2011, level 7 – Master’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","104023",""
"Colombia","2018","Total","Both Sexes","25 - 29","ISCED 2011, level 8 – Doctoral or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","4271",""
"Colombia","2018","Total","Both Sexes","25 - 29","ISCED 2011, Unknown","Census - de jure - complete tabulation","Final figure, complete","2020","64943",""
"Colombia","2018","Total","Both Sexes","25 - 29","ISCED 2011, Total","Census - de jure - complete tabulation","Final figure, complete","2020","3692174",""
"Colombia","2018","Total","Both Sexes","30 - 34","ISCED 2011, No education","Census - de jure - complete tabulation","Final figure, complete","2020","81416",""
"Colombia","2018","Total","Both Sexes","30 - 34","ISCED 2011, level 0 – Early childhood education","Census - de jure - complete tabulation","Final figure, complete","2020","1830",""
"Colombia","2018","Total","Both Sexes","30 - 34","ISCED 2011, level 1 – Primary education","Census - de jure - complete tabulation","Final figure, complete","2020","492667",""
"Colombia","2018","Total","Both Sexes","30 - 34","ISCED 2011, level 2 – Lower secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","362062",""
"Colombia","2018","Total","Both Sexes","30 - 34","ISCED 2011, level 3 – Upper secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","1157336",""
"Colombia","2018","Total","Both Sexes","30 - 34","ISCED 2011, level 4 – Post-secondary non-tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","6280",""
"Colombia","2018","Total","Both Sexes","30 - 34","ISCED 2011, level 5 – Short-cycle tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","483932",""
"Colombia","2018","Total","Both Sexes","30 - 34","ISCED 2011, level 6 – Bachelor’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","536913",""
"Colombia","2018","Total","Both Sexes","30 - 34","ISCED 2011, level 7 – Master’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","164136",""
"Colombia","2018","Total","Both Sexes","30 - 34","ISCED 2011, level 8 – Doctoral or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","7293",""
"Colombia","2018","Total","Both Sexes","30 - 34","ISCED 2011, Unknown","Census - de jure - complete tabulation","Final figure, complete","2020","56664",""
"Colombia","2018","Total","Both Sexes","30 - 34","ISCED 2011, Total","Census - de jure - complete tabulation","Final figure, complete","2020","3350529",""
"Colombia","2018","Total","Both Sexes","35 - 39","ISCED 2011, No education","Census - de jure - complete tabulation","Final figure, complete","2020","95715",""
"Colombia","2018","Total","Both Sexes","35 - 39","ISCED 2011, level 0 – Early childhood education","Census - de jure - complete tabulation","Final figure, complete","2020","1631",""
"Colombia","2018","Total","Both Sexes","35 - 39","ISCED 2011, level 1 – Primary education","Census - de jure - complete tabulation","Final figure, complete","2020","608505",""
"Colombia","2018","Total","Both Sexes","35 - 39","ISCED 2011, level 2 – Lower secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","348513",""
"Colombia","2018","Total","Both Sexes","35 - 39","ISCED 2011, level 3 – Upper secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","1057557",""
