"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"France","2019","Total","Both Sexes","Total","Data tabulated by year of occurrence","Final figure, complete","2021","599327",""
"France","2019","Total","Both Sexes","0","Data tabulated by year of occurrence","Final figure, complete","2021","2541",""
"France","2019","Total","Both Sexes","1","Data tabulated by year of occurrence","Final figure, complete","2021","187",""
"France","2019","Total","Both Sexes","1 - 4","Data tabulated by year of occurrence","Final figure, complete","2021","477",""
"France","2019","Total","Both Sexes","2","Data tabulated by year of occurrence","Final figure, complete","2021","133",""
"France","2019","Total","Both Sexes","3","Data tabulated by year of occurrence","Final figure, complete","2021","76",""
"France","2019","Total","Both Sexes","4","Data tabulated by year of occurrence","Final figure, complete","2021","81",""
"France","2019","Total","Both Sexes","5","Data tabulated by year of occurrence","Final figure, complete","2021","68",""
"France","2019","Total","Both Sexes","5 - 9","Data tabulated by year of occurrence","Final figure, complete","2021","296",""
"France","2019","Total","Both Sexes","6","Data tabulated by year of occurrence","Final figure, complete","2021","60",""
"France","2019","Total","Both Sexes","7","Data tabulated by year of occurrence","Final figure, complete","2021","56",""
"France","2019","Total","Both Sexes","8","Data tabulated by year of occurrence","Final figure, complete","2021","44",""
"France","2019","Total","Both Sexes","9","Data tabulated by year of occurrence","Final figure, complete","2021","68",""
"France","2019","Total","Both Sexes","10","Data tabulated by year of occurrence","Final figure, complete","2021","47",""
"France","2019","Total","Both Sexes","10 - 14","Data tabulated by year of occurrence","Final figure, complete","2021","316",""
"France","2019","Total","Both Sexes","11","Data tabulated by year of occurrence","Final figure, complete","2021","47",""
"France","2019","Total","Both Sexes","12","Data tabulated by year of occurrence","Final figure, complete","2021","59",""
"France","2019","Total","Both Sexes","13","Data tabulated by year of occurrence","Final figure, complete","2021","79",""
"France","2019","Total","Both Sexes","14","Data tabulated by year of occurrence","Final figure, complete","2021","84",""
"France","2019","Total","Both Sexes","15","Data tabulated by year of occurrence","Final figure, complete","2021","121",""
"France","2019","Total","Both Sexes","15 - 19","Data tabulated by year of occurrence","Final figure, complete","2021","978",""
"France","2019","Total","Both Sexes","16","Data tabulated by year of occurrence","Final figure, complete","2021","151",""
"France","2019","Total","Both Sexes","17","Data tabulated by year of occurrence","Final figure, complete","2021","173",""
"France","2019","Total","Both Sexes","18","Data tabulated by year of occurrence","Final figure, complete","2021","273",""
"France","2019","Total","Both Sexes","19","Data tabulated by year of occurrence","Final figure, complete","2021","260",""
"France","2019","Total","Both Sexes","20","Data tabulated by year of occurrence","Final figure, complete","2021","264",""
"France","2019","Total","Both Sexes","20 - 24","Data tabulated by year of occurrence","Final figure, complete","2021","1368",""
"France","2019","Total","Both Sexes","21","Data tabulated by year of occurrence","Final figure, complete","2021","267",""
"France","2019","Total","Both Sexes","22","Data tabulated by year of occurrence","Final figure, complete","2021","275",""
"France","2019","Total","Both Sexes","23","Data tabulated by year of occurrence","Final figure, complete","2021","286",""
"France","2019","Total","Both Sexes","24","Data tabulated by year of occurrence","Final figure, complete","2021","276",""
"France","2019","Total","Both Sexes","25","Data tabulated by year of occurrence","Final figure, complete","2021","270",""
"France","2019","Total","Both Sexes","25 - 29","Data tabulated by year of occurrence","Final figure, complete","2021","1727",""
"France","2019","Total","Both Sexes","26","Data tabulated by year of occurrence","Final figure, complete","2021","365",""
"France","2019","Total","Both Sexes","27","Data tabulated by year of occurrence","Final figure, complete","2021","333",""
"France","2019","Total","Both Sexes","28","Data tabulated by year of occurrence","Final figure, complete","2021","382",""
"France","2019","Total","Both Sexes","29","Data tabulated by year of occurrence","Final figure, complete","2021","377",""
"France","2019","Total","Both Sexes","30","Data tabulated by year of occurrence","Final figure, complete","2021","428",""
"France","2019","Total","Both Sexes","30 - 34","Data tabulated by year of occurrence","Final figure, complete","2021","2376",""
"France","2019","Total","Both Sexes","31","Data tabulated by year of occurrence","Final figure, complete","2021","435",""
"France","2019","Total","Both Sexes","32","Data tabulated by year of occurrence","Final figure, complete","2021","479",""
"France","2019","Total","Both Sexes","33","Data tabulated by year of occurrence","Final figure, complete","2021","505",""
"France","2019","Total","Both Sexes","34","Data tabulated by year of occurrence","Final figure, complete","2021","529",""
"France","2019","Total","Both Sexes","35","Data tabulated by year of occurrence","Final figure, complete","2021","586",""
"France","2019","Total","Both Sexes","35 - 39","Data tabulated by year of occurrence","Final figure, complete","2021","3558",""
"France","2019","Total","Both Sexes","36","Data tabulated by year of occurrence","Final figure, complete","2021","624",""
"France","2019","Total","Both Sexes","37","Data tabulated by year of occurrence","Final figure, complete","2021","728",""
"France","2019","Total","Both Sexes","38","Data tabulated by year of occurrence","Final figure, complete","2021","795",""
"France","2019","Total","Both Sexes","39","Data tabulated by year of occurrence","Final figure, complete","2021","825",""
"France","2019","Total","Both Sexes","40","Data tabulated by year of occurrence","Final figure, complete","2021","818",""
"France","2019","Total","Both Sexes","40 - 44","Data tabulated by year of occurrence","Final figure, complete","2021","4970",""
"France","2019","Total","Both Sexes","41","Data tabulated by year of occurrence","Final figure, complete","2021","905",""
"France","2019","Total","Both Sexes","42","Data tabulated by year of occurrence","Final figure, complete","2021","938",""
"France","2019","Total","Both Sexes","43","Data tabulated by year of occurrence","Final figure, complete","2021","1061",""
"France","2019","Total","Both Sexes","44","Data tabulated by year of occurrence","Final figure, complete","2021","1248",""
"France","2019","Total","Both Sexes","45","Data tabulated by year of occurrence","Final figure, complete","2021","1419",""
"France","2019","Total","Both Sexes","45 - 49","Data tabulated by year of occurrence","Final figure, complete","2021","9179",""
"France","2019","Total","Both Sexes","46","Data tabulated by year of occurrence","Final figure, complete","2021","1644",""
"France","2019","Total","Both Sexes","47","Data tabulated by year of occurrence","Final figure, complete","2021","1890",""
"France","2019","Total","Both Sexes","48","Data tabulated by year of occurrence","Final figure, complete","2021","2037",""
"France","2019","Total","Both Sexes","49","Data tabulated by year of occurrence","Final figure, complete","2021","2189",""
"France","2019","Total","Both Sexes","50","Data tabulated by year of occurrence","Final figure, complete","2021","2407",""
"France","2019","Total","Both Sexes","50 - 54","Data tabulated by year of occurrence","Final figure, complete","2021","14491",""
"France","2019","Total","Both Sexes","51","Data tabulated by year of occurrence","Final figure, complete","2021","2590",""
"France","2019","Total","Both Sexes","52","Data tabulated by year of occurrence","Final figure, complete","2021","2940",""
"France","2019","Total","Both Sexes","53","Data tabulated by year of occurrence","Final figure, complete","2021","3188",""
